N,T,horizon,tag,omega,replicate,q,deletion_fraction,horizon_degrees,addition_cosine,addition_speed,full_cosine,deletion_attributed_fraction,n_origins
23,750,42,cac corrected,0.0002,2,0.030666666666666665,0.056,0.48128454790989156,0.03976496968477496,0.08856639597773125,0.018164724202644967,0.509239365758176,418
23,750,42,cac corrected,0.0005,0,0.030666666666666665,0.056,1.2032113697747289,0.019948618272901716,0.09332097176256388,0.13921758732664166,0.55202776728361,418
23,750,42,cac corrected,0.0005,1,0.030666666666666665,0.056,1.2032113697747289,0.1257616919135778,0.0811597804188266,0.19923644142995978,0.5343524709305801,418
23,750,42,cac corrected,0.0005,2,0.030666666666666665,0.056,1.2032113697747289,0.17198881962057846,0.06160267256903544,0.23484621509793885,0.5540719349461409,418
23,750,42,cac corrected,0.001,0,0.030666666666666665,0.056,2.4064227395494577,0.32796518848499845,0.0907629860262907,0.45584026130762834,0.5967975452438593,418
23,750,42,cac corrected,0.001,1,0.030666666666666665,0.056,2.4064227395494577,0.3594502311715812,0.06923899828397492,0.5255936886957957,0.6380015415963175,418
23,750,42,cac corrected,0.001,2,0.030666666666666665,0.056,2.4064227395494577,0.36849633243700747,0.07813684256138623,0.4736289633886146,0.5950591747051103,418
23,750,42,cac corrected,0.002,0,0.030666666666666665,0.056,4.8128454790989155,0.5857664147338475,0.16249166783204055,0.6515736256454738,0.5624635189698325,418
23,750,42,cac corrected,0.002,1,0.030666666666666665,0.056,4.8128454790989155,0.6171471248368193,0.11810579538903672,0.6898174223245627,0.6413482444897278,418
23,750,42,cac corrected,0.002,2,0.030666666666666665,0.056,4.8128454790989155,0.627967531732005,0.11352653126978804,0.7127520449240053,0.6656209428531893,418
23,750,42,cac corrected,0.005,0,0.030666666666666665,0.056,12.032113697747288,0.5776524517701289,0.19322127756635957,0.8110503884573528,0.6005976353894383,418
23,750,42,cac corrected,0.005,1,0.030666666666666665,0.056,12.032113697747288,0.562939459901977,0.22341093824706168,0.7848864079724409,0.5782834721894525,418
23,750,42,cac corrected,0.005,2,0.030666666666666665,0.056,12.032113697747288,0.5857128992605242,0.19343071315874555,0.7585107336128696,0.5656721965570127,418
23,750,42,cac corrected,0.01,0,0.030666666666666665,0.056,24.064227395494576,0.7564848721034109,0.2829440419821561,0.8639530196590821,0.8637950509300009,418
23,750,42,cac corrected,0.01,1,0.030666666666666665,0.056,24.064227395494576,0.5538235212061825,0.28909843290444914,0.7204021469924716,0.8077437350793433,418
23,750,42,cac corrected,0.01,2,0.030666666666666665,0.056,24.064227395494576,0.7062390006914071,0.30186295919989026,0.8425173044285483,0.8451054254481711,418
29,250,42,dax published,0.0,5,0.116,0.168,0.0,-0.023001029472461812,0.23860074063823414,0.00756373564842864,0.4496012699712523,454
29,250,42,dax published,0.0,6,0.116,0.168,0.0,-0.02998554381725299,0.24152694354153337,-0.04759927731045151,0.4668308131072872,454
29,250,42,dax published,0.0,7,0.116,0.168,0.0,-0.0221382613931835,0.22120222185967942,-0.008764570544073947,0.4378760861058227,454
29,250,42,dax published,0.0,8,0.116,0.168,0.0,-0.0001555955823690686,0.23761176031679584,0.022136105006963468,0.4305640095140307,454
29,250,42,dax published,0.0,9,0.116,0.168,0.0,-0.025012559821659824,0.21483214215362753,0.006370674309918578,0.40767844980089263,454
29,250,42,dax published,0.0,10,0.116,0.168,0.0,-0.020906919956224512,0.21088964726580042,-0.0025705304642471677,0.43306817980958306,454
29,250,42,dax published,0.0,11,0.116,0.168,0.0,-0.021182927140245937,0.20879007753509088,-0.011947049933550202,0.4250758512719573,454
29,250,42,dax published,0.0,12,0.116,0.168,0.0,-0.006499609769679124,0.2730203217070094,0.017545566742265283,0.4573141851759685,454
29,250,42,dax published,0.0,13,0.116,0.168,0.0,-0.015445181256839816,0.20790097175895086,0.012284698940636798,0.42797586590857084,454
29,250,42,dax published,0.0,14,0.116,0.168,0.0,-0.026545553435209344,0.22588203456784656,-0.00502084093707045,0.4241230878679308,454
29,250,42,dax published,0.0,15,0.116,0.168,0.0,-0.004670271431554175,0.24404374720873923,-0.00019004755919558273,0.4404958807309941,454
29,250,42,dax published,0.0,16,0.116,0.168,0.0,0.010065260317706895,0.22264143630911015,0.042291690371700004,0.4301131525442042,454
29,250,42,dax published,0.0,17,0.116,0.168,0.0,-0.016816027998408083,0.24941720631747788,0.025842740781711185,0.43785823885969427,454
29,250,42,dax published,0.0,18,0.116,0.168,0.0,-0.02461121212141919,0.19298984333747854,0.017017900850379658,0.43718371166586883,454
29,250,42,dax published,0.0,19,0.116,0.168,0.0,-0.039696747735649386,0.22164425465865276,0.01710490060953451,0.44267423323060423,454
29,250,42,dax published,0.0,20,0.116,0.168,0.0,-0.00038161026821903477,0.22393240607502893,0.05254914384135703,0.4471728505451738,454
29,250,42,dax published,0.0,21,0.116,0.168,0.0,0.005398698257620426,0.23391614080575907,0.037565370898789065,0.43098371121907253,454
29,250,42,dax published,0.0,22,0.116,0.168,0.0,-0.028283626553177656,0.23009752863908878,-0.041739618405615735,0.44919263197523285,454
29,250,42,dax published,0.0,23,0.116,0.168,0.0,0.006346184325824488,0.21551817032544832,0.00357248698335948,0.4385079267045907,454
29,250,42,dax published,0.0002,0,0.116,0.168,0.48128454790989156,-0.0343698841282724,0.22957015313275714,-0.007450397771356033,0.40391854088201457,454
29,250,42,dax published,0.0002,1,0.116,0.168,0.48128454790989156,-0.031044181321447963,0.23735582814808892,0.03180652542589059,0.42910208617202217,454
29,250,42,dax published,0.0002,2,0.116,0.168,0.48128454790989156,-0.021923520900988133,0.2347795997485478,0.02577824783636754,0.4341435553865067,454
29,250,42,dax published,0.0005,0,0.116,0.168,1.2032113697747289,0.018064993864214098,0.21562880110816232,0.03396954444966346,0.4256668789190548,454
29,250,42,dax published,0.0005,1,0.116,0.168,1.2032113697747289,-0.0033231346775812547,0.21647586145331618,0.02429821692675354,0.44184261190985197,454
29,250,42,dax published,0.0005,2,0.116,0.168,1.2032113697747289,-0.003094231531028975,0.23592732687052506,0.034103194889054216,0.42804276101852146,454
29,250,42,dax published,0.001,2,0.116,0.168,2.4064227395494577,0.00932086948042014,0.2416732422550526,0.1194349217520039,0.46084276963574694,454
29,250,42,dax published,0.002,0,0.116,0.168,4.8128454790989155,0.09333194587453784,0.25555547971089165,0.22194737244943408,0.4622271357242848,454
29,250,42,dax published,0.002,1,0.116,0.168,4.8128454790989155,0.07678024549031301,0.25496314338004206,0.23626985757037877,0.4666444702440005,454
29,250,42,dax published,0.002,2,0.116,0.168,4.8128454790989155,0.05469454718385879,0.27116958194092927,0.19384216360538914,0.47952663016469005,454
29,250,42,dax published,0.005,2,0.116,0.168,12.032113697747288,0.3419456690590269,0.30780865869020607,0.5428237960259664,0.5997422944860712,454
29,250,42,dax published,0.01,0,0.116,0.168,24.064227395494576,0.44653968175186837,0.44242838016363467,0.665104340860545,0.453890988219639,454
29,250,42,dax published,0.01,1,0.116,0.168,24.064227395494576,0.43139915869362677,0.4422160954057978,0.6602701766083009,0.4551012414568166,454
29,250,42,dax published,0.01,2,0.116,0.168,24.064227395494576,0.42332650391308063,0.44330363875530177,0.6638249456190424,0.48795808508569405,454
29,750,42,dax corrected,0.0,0,0.03866666666666667,0.056,0.0,-0.01766489620665741,0.05692481397245324,-0.005960164844498328,0.4675811434350659,418
29,750,42,dax corrected,0.0,1,0.03866666666666667,0.056,0.0,-0.016137309943631814,0.1047292607606099,-0.028507946407201723,0.5411778330275834,418
29,750,42,dax corrected,0.0,2,0.03866666666666667,0.056,0.0,0.06199841982599988,0.11078701861926737,0.007811397313933167,0.5111013887488707,418
29,750,42,dax corrected,0.0,3,0.03866666666666667,0.056,0.0,0.015722683390421627,0.054737102102505535,0.021150310591140274,0.47455437404550777,418
29,750,42,dax corrected,0.0,4,0.03866666666666667,0.056,0.0,0.03557460965064649,0.09302239623178467,0.018476077537312684,0.4852960361755578,418
29,750,42,dax corrected,0.0,5,0.03866666666666667,0.056,0.0,-0.052709484942283585,0.07477600128492894,-0.002381573233074379,0.47664824987923804,418
29,750,42,dax corrected,0.0,6,0.03866666666666667,0.056,0.0,-0.028032127311370853,0.07568113688188575,-0.021571030238533823,0.49972115101445513,418
29,750,42,dax corrected,0.0,7,0.03866666666666667,0.056,0.0,-0.003835204494263255,0.08995891007278235,0.049519909486036545,0.491113902573033,418
29,750,42,dax corrected,0.0,8,0.03866666666666667,0.056,0.0,-0.013157864525474258,0.08935775954638638,-0.022825297595860276,0.505420119812343,418
29,750,42,dax corrected,0.0,9,0.03866666666666667,0.056,0.0,-0.011022640945597456,0.05816647317415615,0.0027012916277586395,0.4709596359349077,418
29,750,42,dax corrected,0.0,10,0.03866666666666667,0.056,0.0,0.028479654403936197,0.08484058252134821,0.025245727376124266,0.48173906756271995,418
29,750,42,dax corrected,0.0,11,0.03866666666666667,0.056,0.0,-0.021165183651186865,0.08185656828329137,-0.008784131583670656,0.4786288206178342,418
29,750,42,dax corrected,0.0,12,0.03866666666666667,0.056,0.0,-0.009383378138491246,0.08455391810837116,-0.02736048011447623,0.4787492479521384,418
29,750,42,dax corrected,0.0,13,0.03866666666666667,0.056,0.0,-0.017502627744854074,0.07283807757282423,0.018926892185255517,0.5338519097318875,418
29,750,42,dax corrected,0.0,14,0.03866666666666667,0.056,0.0,0.0003053786090769911,0.09486818039215372,-0.00615817717679803,0.5100947925973349,418
29,750,42,dax corrected,0.0,15,0.03866666666666667,0.056,0.0,-0.01100049126422291,0.09560698646747326,0.03905108532866085,0.523260555000071,418
29,750,42,dax corrected,0.0,16,0.03866666666666667,0.056,0.0,0.022469104515573272,0.08340921237701604,0.04567154184141263,0.49410963393489626,418
29,750,42,dax corrected,0.0,17,0.03866666666666667,0.056,0.0,0.01596562537969635,0.10217434812282794,-0.00944962276629922,0.5087028961077148,418
29,750,42,dax corrected,0.0,18,0.03866666666666667,0.056,0.0,-0.03622747958758707,0.0756356396437723,-0.013891319017147328,0.5114952932997351,418
29,750,42,dax corrected,0.0,19,0.03866666666666667,0.056,0.0,-0.026563984840740355,0.0973958680664916,0.027956218127820592,0.49994031324041055,418
29,750,42,dax corrected,0.0,20,0.03866666666666667,0.056,0.0,0.03497796202134872,0.09418858784819137,0.04142030270109284,0.49948289140018964,418
29,750,42,dax corrected,0.0,21,0.03866666666666667,0.056,0.0,-0.021442795570327244,0.08523221615721813,-0.01221845824307677,0.4830311483614076,418
29,750,42,dax corrected,0.0,22,0.03866666666666667,0.056,0.0,0.025690052830466808,0.10007361925829615,0.02061328345603531,0.5047813732810287,418
29,750,42,dax corrected,0.0,23,0.03866666666666667,0.056,0.0,0.032559966890819844,0.061389581395627564,0.03487889699706914,0.48500475235177615,418
29,750,42,dax corrected,0.0002,0,0.03866666666666667,0.056,0.48128454790989156,-0.0200995993837899,0.08975730720824335,0.026809549614319767,0.5015687377021788,418
29,750,42,dax corrected,0.0002,1,0.03866666666666667,0.056,0.48128454790989156,-0.05822459078267221,0.09321136410326002,0.015275920722176,0.5200638672318925,418
29,750,42,dax corrected,0.0002,2,0.03866666666666667,0.056,0.48128454790989156,0.054479036312712475,0.09091934613268582,0.023398742307654492,0.5223939319042328,418
29,750,42,dax corrected,0.0005,0,0.03866666666666667,0.056,1.2032113697747289,0.05716281942204724,0.08774922953076854,0.1189936865550186,0.5291127800638119,418
29,750,42,dax corrected,0.0005,1,0.03866666666666667,0.056,1.2032113697747289,0.1149075282944,0.07200790363955059,0.19167826156267187,0.5355679781993347,418
29,750,42,dax corrected,0.0005,2,0.03866666666666667,0.056,1.2032113697747289,0.07023909926819348,0.08761202141472785,0.15729933833163537,0.5225916844736453,418
29,750,42,dax corrected,0.001,0,0.03866666666666667,0.056,2.4064227395494577,0.28416397635536383,0.09519405810216951,0.4168002666790172,0.5651019053303507,418
29,750,42,dax corrected,0.001,1,0.03866666666666667,0.056,2.4064227395494577,0.26933105577276995,0.09311040993721531,0.41436619860232204,0.5991785992648385,418
29,750,42,dax corrected,0.001,2,0.03866666666666667,0.056,2.4064227395494577,0.2739903573697844,0.11894029928713065,0.34780869794686664,0.5045693964319224,418
29,750,42,dax corrected,0.002,0,0.03866666666666667,0.056,4.8128454790989155,0.6102670799585281,0.17709386383759623,0.5657014586654461,0.46397784558689037,418
29,750,42,dax corrected,0.002,1,0.03866666666666667,0.056,4.8128454790989155,0.5886641161784214,0.1314760168181989,0.639297879217124,0.5892031648222337,418
29,750,42,dax corrected,0.002,2,0.03866666666666667,0.056,4.8128454790989155,0.5745802716059366,0.15371535276767506,0.6306768458939785,0.5568109910633519,418
29,750,42,dax corrected,0.005,0,0.03866666666666667,0.056,12.032113697747288,0.5518625648771208,0.24338099782786674,0.6660123615830769,0.5050183394548835,418
29,750,42,dax corrected,0.005,1,0.03866666666666667,0.056,12.032113697747288,0.6398078095110068,0.17879260448987352,0.8267958094310989,0.6255393227218179,418
29,750,42,dax corrected,0.005,2,0.03866666666666667,0.056,12.032113697747288,0.5540271037203752,0.2544935189589195,0.6684395718224603,0.4886198080552588,418
29,750,42,dax corrected,0.01,0,0.03866666666666667,0.056,24.064227395494576,0.8086732249377222,0.27355179924480216,0.8928076879614022,0.8918370359900061,418
29,750,42,dax corrected,0.01,1,0.03866666666666667,0.056,24.064227395494576,0.6602981687299814,0.3022673026687566,0.7888738033345605,0.817905851285438,418
29,750,42,dax corrected,0.01,2,0.03866666666666667,0.056,24.064227395494576,0.7256174095389639,0.26176144146648217,0.820358060081261,0.8681566818920166,418
131,250,42,nikkei published,0.0,0,0.524,0.168,0.0,7.175415023430491e-05,0.3493585684223211,0.029352157094067747,0.3804206637508964,454
131,250,42,nikkei published,0.0,1,0.524,0.168,0.0,-0.009370828952114406,0.3760884425560814,0.010100597883480056,0.37233490304037165,454
131,250,42,nikkei published,0.0,2,0.524,0.168,0.0,-0.01885790144439331,0.35250048065835,0.01661857201351884,0.38372193537561833,454
131,250,42,nikkei published,0.0,3,0.524,0.168,0.0,-0.002612248556981271,0.352161592061207,0.014572360394961932,0.38061167003405194,454
131,250,42,nikkei published,0.0,4,0.524,0.168,0.0,0.010766623757819758,0.37623140328342153,0.027209323315940195,0.3513467683967775,454
131,250,42,nikkei published,0.0,5,0.524,0.168,0.0,0.007531256487934801,0.36655270783743144,0.007611110023875079,0.3683088247673975,454
131,250,42,nikkei published,0.0,6,0.524,0.168,0.0,-0.004218158302860742,0.3602766646341392,0.016889296797704675,0.370505214213593,454
131,250,42,nikkei published,0.0,7,0.524,0.168,0.0,-0.020229428747327537,0.3390767075767445,0.025022035268646065,0.38792337972820484,454
131,250,42,nikkei published,0.0,8,0.524,0.168,0.0,-0.007318009663347478,0.3816848539667417,0.02178797811515387,0.3828448357321328,454
131,250,42,nikkei published,0.0,9,0.524,0.168,0.0,-0.02015684268515758,0.3500333875291965,0.019165264110522814,0.3986304421110362,454
131,250,42,nikkei published,0.0,10,0.524,0.168,0.0,-0.007246631321253763,0.36039850366319204,0.036478072677371215,0.3768291525436355,454
131,250,42,nikkei published,0.0,11,0.524,0.168,0.0,-0.006752992705114921,0.34918211551396544,0.042148188814410445,0.41085041913023207,454
131,250,42,nikkei published,0.0,12,0.524,0.168,0.0,-0.03690564102292723,0.37648839511746324,0.017003847090783356,0.3569986395090204,454
131,250,42,nikkei published,0.0,13,0.524,0.168,0.0,-0.020531805898388922,0.37471619999657646,0.019798263418125316,0.3696781314134146,454
131,250,42,nikkei published,0.0,14,0.524,0.168,0.0,-0.024485185222464078,0.3512389539564336,0.010074526481974922,0.3865664314596414,454
131,250,42,nikkei published,0.0,15,0.524,0.168,0.0,-0.020302182212771788,0.36453011288037507,0.011339329798475798,0.36562585475474035,454
131,250,42,nikkei published,0.0,16,0.524,0.168,0.0,-0.014058453333586102,0.3532133646880119,0.01977700216500426,0.38877264912923415,454
131,250,42,nikkei published,0.0,17,0.524,0.168,0.0,-0.00815827797141405,0.35166809107783054,0.02983066582637186,0.37792492741083966,454
131,250,42,nikkei published,0.0,18,0.524,0.168,0.0,-0.007474892792028315,0.359373585883385,0.020472496562526366,0.3852214367786633,454
131,250,42,nikkei published,0.0,19,0.524,0.168,0.0,-0.02868639538905913,0.38300663663993845,-0.010585953426305382,0.3624251658430672,454
131,250,42,nikkei published,0.0,20,0.524,0.168,0.0,-0.01281223633093154,0.36449897946741433,0.047007402207015825,0.3636863102547538,454
131,250,42,nikkei published,0.0,21,0.524,0.168,0.0,-0.0009784264028202907,0.34524302198512224,0.02358968236027327,0.3961150397070377,454
131,250,42,nikkei published,0.0,22,0.524,0.168,0.0,-0.02229997166139614,0.37505344314776096,0.02618926929095942,0.37706096559963426,454
131,250,42,nikkei published,0.0,23,0.524,0.168,0.0,0.003577770136114566,0.347890791052443,0.019713708297184628,0.38025139865387386,454
